TELSTRA CORP,www.telstraglobal.com,https://brand.telstra.com/guidelines
WALGREEN CO,www.walgreens.com,https://developer.walgreens.com/sites/all/files/QuickPrints/Branding%20Reqs/BrandMark%20Guidelines.pdf
CATERPILLAR INC,http://www.cat.com/home,http://www.miltoncat.com/products/MarineEngines/Authorized%20Marine%20Dealers/Documents/Trademark%20usage.pdf
HEWLETT-PACKARD,www.hp.com,http://ctl.tpu.ru/files/casebrandbookHP.pdf
SUNCOR ENERGY,www.suncor.com,http://www.suncor.com/pdf/suncor_visual_identity_guidelines_summary.pdf
EMC CORP/MA,www.emc.com,http://events.carahsoft.com/event-file/d/EMC_Partner_Portal/C1127_EMC_brand_book_LDV.pdf
DUKE ENERGY CORP,www.duke-energy.com,http://www.duke-energy.com/pdfs/duke-energy-brand-standards.pdf
LOWE'S COS INC,www.lowes.com,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&ved=0CE8QFjAA&url=http%3A%2F%2Fissuu.com%2Fgabychev%2Fdocs%2Flowes_corporateidentity&ei=YrG5UpOfKdbfsASo2IGYAg&usg=AFQjCNH8cfJ4eVIzIdDvVh0mq2pPPvbrcA&sig2=x9PVrZ90u73YSz5Th_-GhQ&bvm=bv.58187178,d.cWc"
HYUNDAI MOTOR,www.hyundai-motor.com,http://issuu.com/janjaneczek/docs/hyundai
ING GROEP NV,www.ing.com,http://www.ing.be/logo/logos/ING_BasicElements_oct02.pdf
DEUTSCHE BANK-RG,www.db.com,https://www.db.com/en/media/Logo_History.pdf
DOW CHEMICAL CO,www.dow.com,http://www.dow.com/company/trade/pdfs/Trademark_Use_Guide.pdf
WALMART DE MEX-V,www.walmartmexico.com.mx,http://www.walmartempowerswomen.org/wp-content/uploads/2011/04/walmart_brand_guidelines.pdf
HENKEL AG -PFD,www.henkel.com,http://www.henkel.com/com/content_data/205573_Hen_Leporello_Einzelseiten_EN_IsoCV2.pdf
SCHNEIDER ELECTR,www.schneiderelectric.com,http://www.hotlinet.schneider-electric.com/logotype/download/Signage.pdf
FEDEX CORP,www.fedex.com,"https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&ved=0CDsQFjAC&url=http%3A%2F%2Fbigadvenc.ru%2Fplugins%2Fp2018_download_manager%2Fgetfile.php%3Fcategoryid%3D47%26p2018_sectionid%3D1%26p2018_fileid%3D245&ei=z5-5UrG9Kq3IsATLroCADQ&usg=AFQjCNEGN0nMqd4AftEuW07Few8ue6bYig&sig2=ooSY0luDDI3AdF9HQOtYUw&bvm=bv.58187178,d.cWc"
CANON INC,www.canon.com/index.html,http://issuu.com/david_john_scott/docs/canon_book_final
HALLIBURTON CO,www.halliburton.com,http://www.halliburton.com/public/news/pubsdata/HalliburtonLogoGuidelines.pdf
